synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
control_circuit.n.01,a feedback circuit that subtracts from the input,"control_circuit,negative_feedback_circuit",Q47472201,request for comments publication,"RFC_8083:_Multimedia_Congestion_Control:_Circuit_Breakers_for_Unicast_RTP_Sessions,RFC8083,Multimedia_Congestion_Control:_Circuit_Breakers_for_Unicast_RTP_Sessions",7|8
belted_sandfish.n.01,found in warm shallow waters of western Atlantic,"belted_sandfish,Serranus_subligarius",Q1562068,species of fish,"Belted_sandfish,Serranus_subligarius,Belted_sandfish,Belted_sandfish",7|8
retrain.v.01,teach new skills,retrain,Q64221664,clinical trial,The_Use_of_Brace_to_Retrain_Hemiparetic_Gait,7|8
thorax.n.01,the middle region of the body of an arthropod between the head and the abdomen,thorax,Q942508,body part of an arthropod,"thorax,arthropod_thorax,Thorax_(insect_anatomy),Thorax_(insect_anatomy),thorax_muscles_of_insects,synthorax,thoracic,Thorax,thorax.,thoraces,thorax",7|8
scientific_knowledge.n.01,knowledge accumulated by systematic study and organized by general principles,scientific_knowledge,Q56048987,article,Ideological_cultures_and_media_discourses_on_scientific_knowledge:_re-reading_news_on_climate_change,7|8
split_infinitive.n.01,"an infinitive with an adverb between `to' and the verb (e.g., `to boldly go')",split_infinitive,Q1460703,English grammatical construction in which a word or phrase (usually adverb or adverbial phrase) comes between the to and the bare infinitive of the to form of the infinitive verb; e.g. “to boldly go”; “to more than double”,"split_infinitive,Split_infinitive,Layamon_example,split_infinitive,split,Split_infinitive",7|8
literary_criticism.n.02,the informed analysis and evaluation of literature,"literary_criticism,lit_crit",Q58854,"study, evaluation, and interpretation of literature","literary_criticism,Literary_criticism,Literary_Criticism,literary_researcher,literary_critiques,literary_critic,critical_theory,literary_scholarship,literature_critic,critical_essays,literary_and_critical,Critics,critical,literature,Literary_critics,criticism,Reception,critiques,Literary_Studies,critical_methodology,literary,critical_analysis,book_reviews,analyst_and_critic,literary-critical,literary_analysis,studied_literature,literary_scholars,literary-critical_methods,literary_scholar,critique,study_and_appreciation,literary_theory_and_criticism,literary_criticism,Literary_criticism,scholarly_criticism,Literary_critic,literary_studies,Criticism,literary_journalist,literary_critical,Commentary,critic_of_literature,critical_attention,literary_project,modern_criticism,literary_critique,literary_analysis_and_criticism,commentaries,Literary_Critic,critical_study,Literary_studies,interpretation,literary_discussion,literary,_film_and_other_media_criticism,book_reviewers,critically,reviews,Late_twentieth-century_criticism,critics,literary_historian,Academic_literary_critic,literary_review,commentary,book_reviewer,critical_essay,book_critic,literary_critics,critical_commentary,critic,lit_crit",7|8
blatantly.r.01,in a blatant manner,blatantly,Q16354855,an especially blatant or funny blunder,"howler,Howler_(error),howler,howlers,Howler_(error),Howler",7|8
physic_nut.n.01,small tropical American tree yielding purple dye and a tanning extract and bearing physic nuts containing a purgative oil that is poisonous in large quantities,"physic_nut,Jatropha_curcus",Q74644,species of plant,"Jatropha_curcas,Jatropha_curcas,jatropha,Barbados_nut,Jatropha_curcas,Jatropha,jatropha_curcas,physic_nut,Jatropha_curcas_Linnaeus",7|8
dimorphic.a.01,occurring or existing in two different forms,"dimorphic,dimorphous",Q907364,ability of a solid material to exist in more than one form or crystal structure,"polymorphism,Polymorphism_(materials_science),forms,polymorphic_form,polytype,crystalline_forms,form,modification,polymorphs,polymorphism_(materials_science),polymerization,Polymorphism_(materials_science)#Polytypism,polymorphism,Polymorphic,trimorphs,polymorphic_forms,beta-polymorph,crystalline_form,α,Ostwald's_rule,polymorphic_transformations,Polymorphism,polymorph,Polymorphism_(materials_science),crystal_forms,polymorphous_crystallization,Polymorphism_(materials_science)#Polymorphism_in_pharmaceuticals,polymorphous,Polymorphism_%28materials_science%29#Ostwald.27s_rule,trimorphous,polytypes,dimorphous,dimorph,dimorphic,modifications,dimorphs,dimorphism,polymorphic_minerals,polymorphic",7|8
naboom.n.01,small tree of dry open parts of southern Africa having erect angled branches suggesting candelabra,"naboom,cactus_euphorbia,Euphorbia_ingens",Q1257890,African spurge species,"Euphorbia_trigona,cathedral_cactus,Euphorbia_trigona,Euphorbia_trigona,E._trigona",7|8
transverse_sinus.n.01,a paired dural sinus; terminates in the sigmoid sinus,"transverse_sinus,sinus_transversus",Q18555981,Human disease,"lateral_sinus_thrombosis,Thrombosis_of_lateral_venous_sinus_(disorder),Thrombosis_transverse_sinus_(disorder),Thrombosis_of_lateral_venous_sinus,Thrombosis_transverse_sinus",7|8
rehabilitation_program.n.01,a program for restoring someone to good health,rehabilitation_program,Q1260022,processes of treatment for drug dependency,"drug_rehabilitation,addiction_to_everything_especially_crack,Drug_rehabilitation,substance_abuse_counseling,drug_treatment_centre,Types_of_drug_rehabilitation_treatment,treatment_center,substance-abuse_rehabilitation_program,treatment_centers,rehabilitation_centre_for_drug_addicts,rehabilitation_treatment,rehabilitation_programs,drug_rehabilitation_program,drug,_and_alcohol_rehabilitation_centers,drug_rehabilitation_facility,rehabilitation_center,Drug_Rehabilitation,drug_rehabilitation_center,drug,rehab_program,the_rehabilitation_process,chemical_dependency,drug_treatment_centres,drug_rehab_facility,Alcohol_and_drug_rehabilitation,rehab_facility,drug_rehab_physician,drug_program,drug_rehabilitation_and_treatment,Rehab,drug_detox_and/or_rehabilitation,rehabilitation_facilities,alcohol_rehabilitation_facility,drug_treatment_efforts,Drug_rehabilitation,Substance-abuse_programs,drug_counselors,counseling_sessions,clinic,narcotics_counseling,Drug_treatment,residential_facility,treatment_and_recovery,rehabilitate_alcoholics,alcohol_rehabilitation_program,rehabilitation_clinic,rehabilitation_program,residential_treatment_centers,drug_counselor,treatment_programs,alcoholism_rehabilitation,substance_abuse_treatment,Rehabilitation,substance_abuse,substances_addictions,Chemical_Dependency_Center,drug_rehab,rehabilitation_facility,treatment_facility,drug_treatment,prevent_relapse,rehab,Narcotic_Rehabilitation_Center,drug_addiction_counsellor,detoxified,dry_out_house,drug_addicts,rehabilitation,addiction_treatment,treatment,alcohol_and_drug_treatment_facilities,alcohol_treatment_center,rehab_center,drug_rehabilitation_centers,drug-treatment_centers,treatment_centre,drug_or_alcohol_rehabilitation_center,Clinical_Substance_Abuse_Counselor,addiction_rehabilitation,substance-abuse_treatment,drug_and_alcohol_rehabilitation,rehabilitation_centre,substance-abuse_rehabilitation,rehab_clinic,recovery_program,drug_rehabilitation,alcohol_treatment,rehabilitate,Drug_and_Alcohol_Rehab,alcohol_rehabilitation,drug-rehabilitation,make_themselves_right,ten-day_alcohol_and_drug_rehabilitation,methadone_rehabilitation,chemical_dependency_treatment,treatment_services,Drug_rehabilitation#Counseling,addictions_rehabilitation,clinics,rehabilitation_programme,recovery",7|8
yellow_race.n.01,an Asian race,"Yellow_race,Mongoloid_race,Mongolian_race",Q207912,race,"Mongoloid,Mongoloid,Blumenbach's_Mongolian_race,Mongoloid,Mongolian,Asiatic,Mongoloian,Yellow,Mongoloids_A,Mongolian_race,Mongoloids_B,East_Asian,Mongolized,Mongol,_Mongoloid,_or_Mongolism,mongoloid,Mongoloid_race",7|8
direct_current.n.01,an electric current that flows in one direction steadily,"direct_current,DC,direct_electric_current",Q159241,unidirectional flow of electric charge,"direct_current,DC,Direct_current,DC_system,direct,electrical,dc,galvanic_current,Current,DC_response,Vdc,Direct_Current,direct_current_DC,DC_excitation,DC_power,three-wire_(DC),direct_____current,DC_electricity,direct_durrent,direct-current,DC_generator,D.C.,direct_electric_current,Direct_current,direct_current_(DC),DC_current,direct_current,d.c.,DC_voltage_sources,DC,=,current,Galvanic,Direct-Current_Circuits,DC_link_capacitors,DC_powered,small_direct_current_power_supply,power,DC_\,constant_DC,DC_electro_engine,DC_voltage,VDC",7|8
slate_pencil.n.01,a pencil of soft slate (or soapstone) used for writing on a slate,slate_pencil,Q26630433,"North East Lincolnshire, Lincolnshire, DN35",Slate_Pencil_Sharpening_Stone,7|8
diazo.a.01,relating to or containing diazonium,diazo,Q55980093,article,Organic_Synthesis_with_.alpha.-Diazo_Carbonyl_Compounds,7|8
cloud-cuckoo-land.n.01,an imaginary place where you say people are when they seem optimistically out of touch with reality,cloud-cuckoo-land,Q2592525,often derogatory term for fantasy utopia,"Cloud_cuckoo_land,Nephelococcygia,Νεφελοκοκκυγία,Cloud_cuckoo_land,cloud_cuckoo_land,Cloud_Cuckoo_Land,Cuckoo-land,Cloud_cuckoo_land,Νεφελοκοκκυγία",7|8
westminster_abbey.n.01,"a famous Gothic church of St. Peter in Westminster, London on the site of a former Benedictine monastery",Westminster_Abbey,Q5933,"abbey church in the City of Westminster, London, England","Westminster_Abbey,Collegiate_Church_of_St_Peter_at_Westminster,Westminster_Abbey,monastery_of_Westminster,abbey_of_Westminster,abbey,royal_abbey_of_Westminster,canon_of_Westminster,St_Peter's_Abbey,_Westminster,Abbots_of_Westminster,Collegiate_Church_of_St_Peter_at_Westminster,Abbey_of_St._Peter,Chapter_House_of_Westminster_Abbey,The_Collegiate_Church_of_St_Peter,_Westminster,Church_of_Saint_Peter_the_Apostle,Westminster_St_Peter,St_Peters_Westminster,church_of_Westminster,St_Peter's,_Westminster,abbot_of_Westminster,Abbey_of_Westminster,Westminster_Abbey,Chapter_House_and_Pyx_Chamber,Westminster_Abbey’s,Westminister,the_Abbey,abbey_at_Westminster,Abbey_Church_of_Westminster,Westminster,Abbey_Church_of_St_Peter,its_(former)_cathedral,monastery,Dean_of_Westminster,a_church,famous_London_building,St_Peter_at_Westminster,Abbot_of_Westminster,King's_Chapel,_Westminster,Collegiate_Church_of_St_Peter,_Westminster,Westminster's,abbey_of_St._Peter,_Westminster,Abbey_of_St._Peter_at_Westminster,Abbey,Wesminster-Abby",7|8
split_ticket.n.01,a ballot cast by a voter who votes for candidates from more than one party,split_ticket,Q7578606,voting for candidates of different parties,"Split-ticket_voting,Split-ticket_voting,split_tickets,split_ticket,ticket_splitting,split_their_political_allegiances,split-ticket_voting,20_points_ahead,ticket-splitting,Split-ticket_voters,Split-ticket_voting",7|8
murder.n.01,unlawful premeditated killing of a human being by a human being,"murder,slaying,execution",Q132821,unlawful killing of a human with malice aforethought,"murder,first_degree_murder,murder_one,murder_1,1st_degree_murder,premeditated_homicide,premeditated_murder,first-degree_murder,second_degree_murder,2nd_degree_murder,second-degree_murder,iced,Murder,homicides,Second_Degree_Murder,murde,killing_the_other,killer,Country-specific_murder_law,bumped_off,retired,Capital_murder,1st_and_2nd_degree_murder,slaughtered,torture_murder,murdering,exterminate,murder_mysteries,executed,Murder#Degrees_of_murder,beaten_to_death,\,second-degree_homicide,extermination,liquidated,hit,homicide_rate,First_Degree_Murder,criminal_homicide,assassinated,unintentional_murder,whack,killing,Killer,murder_case,Qualified_murder,Murder#Degrees_of_murder_by_country,murder_victim,capital_murder,cut-throat,homicide,first-degree_murder/shooting,bump_off,first-degree_murders,Cut-throat,Third-Degree_Murder,charged_with_murder,Murderer,killings,taking_life,Multiple_murder,homicidal,crime-related_death,first_degree_homicide,murder,murdered,murder_scheme,killing_off_many_minor_characters,killed,common_law_classifications,beating_to_death,a_deliberate_act,intentional_homicide,premeditated,Kill,murder_in_the_first_degree,Second_degree_murder,kills,aggravated_murder,Intentional_Homicide,willful_killing,multiple_murder,first_degree,Murder_by_gunshot,double_murder,conspiring_and_committing_murder,first-degree_murder,hacked,Murder_,Murder,murderer,first-degree,triple_murder,second_degree,mysterious,_yet_similar_circumstances,Aggravated_murder,others,second-degree_murder,Wilful_murder,second_degree_murder,killers,Murder_in_English_law,sixth,Pushed_downstairs,have_others_do_so,First-degree_murder,murder_in_the_second_degree,illegal_execution,murderous,crime,first_degree_murder,cutthroats,Killing,foul_play,slay,murders,Killings,Intentional_homicides,slaughter,slain,First_Degree,First_degree_murder,murder_rate,kill,Murder#Degrees_of_murder,Second-degree_murder,murder_squad,shot_and_killed",7|8
compression_bandage.n.01,bandage that stops the flow of blood from an artery by applying pressure,"compression_bandage,tourniquet",Q376724,piece of material used either to support a medical device such as a dressing or splint,"bandage,bandages,Bandage,bandaging,compression_bandaging,Bandage#Compression_bandage,slings,triangular_bandage,Bandage#Triangular_bandage,compression,band_aids,sling,bandage,compression_bandage,Bandage,tubular_bandage",7|8
cuprite.n.01,a mineral consisting of cuprous oxide that is a source of copper,cuprite,Q407335,oxide mineral,"cuprite,Cuprite,Cuprite,cuprite",7|8
lobachevsky.n.01,Russian mathematician who independently discovered non-Euclidean geometry (1792-1856),"Lobachevsky,Nikolai_Ivanovich_Lobachevsky",Q129199,Russian mathematician of Ukrainian origin,"Nikolai_Ivanovich_Lobachevsky,Nikolai_Lobachevsky,Nikolai_Lobachevsky,Nikolai_I._Lobachevsky,Lobachevskian,Lobachevsky,Nikolai_Lobachevsky,Lobachevsky,_Nikolai,Nikolaj_Ivanovich_Lobachevskij,Lobachevski,_Nikolai_Ivanovich",7|8
oracle.n.02,a prophecy (usually obscure or allegorical) revealed by a priest or priestess; believed to be infallible,oracle,Q217123,"in classical antiquity, person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future","oracle,fortune-teller,fortune_teller,diviner,fortuneteller,Oracle,oracular_communications,oracles,oracular_device,oracle_site,spirit_medium,oracular,oracular_utterances,chresm,Delphic_oracle,Oracle_of_Amun,Greek_oracular_gods,oracular_powers,The_Pythoness,Ancient_Greek_oracles,seer,Seer,oracle,Oracle,Oracles,Delphic_Oracle,sybil,soothsayer,soothsayers,Greek_oracles",7|8
surgical_knife.n.01,a very sharp knife used in surgery,surgical_knife,Q207172,sharp bladed instrument used for surgery,"scalpel,lancet,Scalpel,Scalpel#Surgical_scalpels,lancets,surgical_knives,Lancet,lanced,surgical_scalpel_No._10,Bistouri,surgical_knife,Scalpel#Scalpel_injuries,knife,lancet,inscisions,scalpel,Diamond_scalpel,Scalpel,Scalpel#Surgical_scalpels",7|8
plane_angle.n.01,an angle formed by two straight lines (in the same plane),plane_angle,Q11352,figure formed by two rays; coordinate system in one-dimensional space or The amount of turn between two straight lines that have a common end point (the vertex).,"angle,oblique,plane_angle,measure_of_angle,Measure_of_angle_,_angle,Angle,,angular_measures,right_angled,Plane_angle,sign_of_the_angle,acute_angles,ordinary_circular_angle,angle_measures,Angle#Types_of_angles,Angle#Intersecting_angle_pairs,Euclidean_angle,angular_distance,Oblique_angle,Anglian,270_degrees,right_angles,oriented_angles,measured,Euclidean,angular_measurement,oblique,negative,Angle#Combine_angle_pairs,angle#supplementary_angle,angular_measurements,Angles,90°,acute_and_obtuse_angles,obtuse_angle,slant,angle,obtuse,squareness,oblique_angle,non-right_angled,complementary_angle,angle_units,complementary,Angle#Using_trigonometric_functions,Angle#Types_of_angles,circular_angles,angle__is_either,\,angle#explementary_angle,Angle#Angle_Addition_Postulate,angular,Angle#adjacent,apparent_angular_sizes,pitched-roofs,angle#complementary_angle,Compliment,Angle#Positive_and_negative_angles,degree,θ,Angle#Vertical_and_adjacent_angle_pairs,angular_co-ordinate,∠,circular_measure_parametrization,complement,supplementary,plane_angle,Angle#Linear_pair_of_angles,circular_angle,viewing_angle,right_angle,Angularity,Types_of_angles,curvilinear_angle,acute,radian_measure_of_angles,acute_angle,Acute_angle,Angle,Angle#Combining_angle_pairs,measure",7|8
borscht_circuit.n.01,(informal) a resort area in the Catskill Mountains of New York that was patronized primarily by Jewish guests,"borscht_circuit,borsht_circuit,borscht_belt,borsht_belt",Q894184,"area with (now mostly defunct) summer resorts in the Catskill Mountains, in the Sullivan, Orange, and Ulster counties, New York; so called because many Eastern European Jewish Americans from New York City would vacation there in the 1920s–1970s","Borscht_Belt,Borscht_Belt,the_Catskills,Catskill_Mountains,Borscht_Belt,her_family's_hotel,The_Borscht_Belt,resort_area,Catskills,backyard,Catskills_Mountains_resort,Catskills_comedian",7|8
